word,definition
abacus,a tablet placed horizontally on top of the capital of a column as an aid in supporting the architrave
abased,cause to feel shame; hurt the pride of
abasia,inability to walk
abasic,of or relating to abasia (inability to walk)
abatis,a line of defense consisting of a barrier of felled or live trees with branches (sharpened or with barbed wire entwined) pointed toward the enemy
abator,a person who abates a nuisance
abbacy,the jurisdiction or office of an abbot
abbess,the superior of a group of nuns
abduce,advance evidence for
abduct,take away to an undisclosed location against their will and usually in order to extract a ransom
abelia,any of various deciduous or evergreen ornamental shrubs of the genus Abelia having opposite simple leaves and cymes of small white or pink or purplish flowers; Asia and Mexico
abject,of the most contemptible kind
abjure,"formally reject or disavow a formerly held belief, usually under pressure"
abkhas,a member of the Circassian people who live to the east of the Black Sea
ablate,wear away through erosion or vaporization
ablaut,a vowel whose quality or length is changed to indicate linguistic distinctions (such as sing sang sung song)
ablaze,keenly excited (especially sexually) or indicating excitement; - Bram Stoker
ablest,(usually followed by `to') having the necessary means or skill or know-how or authority to do something
abloom,bursting into flower
abnaki,a member of the Algonquian people of Maine and southern Quebec
aboard,"on a ship, train, plane or other vehicle"
aborad,away from the mouth or oral region
aboral,opposite to or away from the mouth
abound,be abundant or plentiful; exist in large quantities
abrade,wear away
abrase,wear away
abroad,in a foreign country
abrupt,marked by sudden changes in subject and sharp transitions
absent,go away or leave
absorb,become imbued
absurd,a situation in which life seems irrational and meaningless; --Albert Camus
abulia,a loss of will power
abulic,suffering from abulia; showing abnormal inability to act or make decisions
abuser,someone who abuses
abvolt,a unit of potential equal to one-hundred-millionth of a volt
acacia,any of various spiny trees or shrubs of the genus Acacia
acadia,the French-speaking part of the Canadian Maritime Provinces
acarid,very small free-living arachnid that is parasitic on animals or plants; related to ticks
acarus,any of several mites of the order Acarina
accede,yield to another's wish or opinion
accent,distinctive manner of oral expression
accept,consider or hold as true
access,the right to enter
accord,harmony of people's opinions or actions or characters
accost,speak to someone
accrue,grow by addition
accuse,bring an accusation against; level a charge against
acedia,apathy and inactivity in the practice of virtue (personified as one of the deadly sins)
acetal,any organic compound formed by adding alcohol molecules to aldehyde molecules
acetic,relating to or containing acetic acid
acetin,any of three liquid acetates that are formed when acetic acid and glycerin are heated together
acetum,a dilute solution of acetic acid that is used as a solvent (e.g. for a drug)
acetyl,the organic group of acetic acid (CH3CO-)
achene,small dry indehiscent fruit with the seed distinct from the fruit wall
aching,a dull persistent (usually moderately intense) pain
achira,canna grown especially for its edible rootstock from which arrowroot starch is obtained
achras,tropical trees having papery leaves and large fruit
acider,harsh or corrosive in tone
acidic,being or containing an acid; of a solution having an excess of hydrogen atoms (having a pH of less than 7)
acinar,pertaining to one of the small sacs (as in a compound gland)
acinic,pertaining to one of the small sacs (as in a compound gland)
acinus,one of the small drupes making up an aggregate or multiple fruit like a blackberry
acorea,absence of the pupil in an eye
acorus,sweet flags; sometimes placed in subfamily Acoraceae
acquit,pronounce not guilty of criminal charges
across,to the opposite side
actaea,baneberry
acting,the performance of a part or role in a drama
action,something done (usually as opposed to something said)
actium,an ancient town on a promontory in western Greece
active,chemical agent capable of activity
