word,definition
AAH,exclamation of amazement or realization
AAL,East Indian tree
ABA,type of fabric or garment
ABB,yarn used in weaving
ABS,abdominal muscles
ABY,to pay the penalty for
ACE,playing card with single spot
ACH,Scottish exclamation of regret
ACT,to perform or behave
ADD,to join or unite
ADO,fuss or trouble
ADS,advertisements
ADZ,cutting tool
AFF,off (Scottish)
AFT,toward the stern of a ship
AGA,Turkish military commander
AGE,length of time lived
AGO,in the past
AHA,exclamation of discovery
AID,to help or assist
AIL,to be sick
AIM,to point or direct
AIN,own (Scottish)
AIR,mixture of gases we breathe
AIT,small island
AKA,also known as
ALA,in the manner of
ALB,white vestment
ALE,type of beer
ALL,every one of
ALP,high mountain
ALS,amyotrophic lateral sclerosis
ALT,high in pitch
AMA,Japanese female diver
AMI,friend (French)
AMP,unit of electric current
ANA,collection of sayings
AND,connecting word
ANE,one (Scottish)
ANI,tropical blackbird
ANT,small insect
ANY,one or some
APE,large primate
APT,suitable or fitting
ARB,arbitrageur
ARC,curved line
ARD,primitive plow
ARE,plural form of "be"
ARF,sound of a dog
ARK,large boat
ARM,upper limb
ART,creative work
ASH,tree or residue of fire
ASK,to request
ASP,type of snake
ASS,donkey
ATE,past tense of eat
AUK,seabird
AVE,avenue
AWE,wonder mixed with fear
AWK,awkward
AWL,pointed tool
AWN,bristle-like appendage
AXE,cutting tool
AYE,yes
BAA,cry of a sheep
BAD,not good
BAG,container
BAH,exclamation of contempt
BAL,dance
BAM,loud sound
BAN,to prohibit
BAP,soft roll
BAR,rod or drinking establishment
BAT,flying mammal or club
BAW,Scottish variant of ball
BAY,body of water
BED,furniture for sleeping
BEE,flying insect
BEG,to ask for
BEL,unit of sound
BEN,mountain peak
BET,to wager
BEY,Turkish title
BIB,cloth worn while eating
BID,to offer
BIG,large
BIN,container
BIO,biography
BIS,twice
BIT,small piece
BOA,large snake
BOB,to move up and down
BOD,body
BOG,wetland
BOK,type of cabbage
BOO,exclamation to frighten
BOP,type of jazz
BOS,plural of bo
BOT,robot
BOW,to bend forward
BOX,container
BOY,male child
BRA,undergarment
BRO,brother
BRR,exclamation of cold
BUB,brother
BUD,flower before opening
BUG,insect
BUM,buttocks
BUN,bread roll
BUR,prickly seed case
BUS,vehicle
BUT,except
BUY,to purchase
BYE,goodbye
CAB,taxi
CAD,ill-mannered man
CAM,rotating machine part
CAN,metal container or able to
CAP,hat
CAR,automobile
CAT,feline animal
CAW,cry of a crow
CAY,small island
CEE,letter C
CEL,animation cell
CHA,tea
CHI,Greek letter
CIG,cigarette
COB,corncob
COD,type of fish
COG,gear tooth
COL,mountain pass
CON,to trick
COO,sound of a dove
COP,police officer
COR,exclamation
COS,type of lettuce
COT,small bed
COW,bovine animal
COX,coxswain
COY,shy
CRU,vineyard
CRY,to weep
CUB,young bear
CUD,food returned from stomach for chewing
CUE,signal or stick
CUM,with or together
CUP,drinking vessel
CUR,mongrel dog
CUT,to slice
CWM,valley
DAB,to touch lightly
DAD,father
DAG,lock of matted wool
DAH,dash in Morse code
DAK,mail service
DAL,type of lentil
DAM,barrier across water
DAN,title of respect
DAP,to fish by letting the bait dip into the water
DAW,jackdaw
DAY,24-hour period
DEB,debutante
DEE,letter D
DEF,excellent
DEN,small room or lair
DEV,to develop
DEW,moisture
DID,past tense of do
DIE,to cease living
DIG,to excavate
DIM,not bright
DIN,loud noise
DIP,to immerse briefly
DIS,to disrespect
DOB,to inform against
DOC,doctor
DOD,to cut hair
DOE,female deer
DOG,canine animal
DOH,exclamation of annoyance
DOL,unit of pain
DOM,title of respect
DON,to put on
DOO,to do
DOP,to dip
DOR,beetle
DOS,disk operating system
DOT,small round mark
DOW,to be able
DRY,not wet
DSO,military decoration
DUB,to name
DUD,failure
DUE,owed
DUG,past tense of dig
DUH,exclamation of annoyance
DUI,driving under the influence
DUM,mute
DUN,dull grayish-brown
DUO,pair
DUP,to open
DUX,leader
DYE,coloring agent
DZO,hybrid yak
EAN,to give birth
EAR,organ of hearing
EAS,plural of ea
EAT,to consume food
EBB,to flow back
ECO,ecological
ECU,old French coin
EDH,Old English letter
EDS,plural of ed
EEK,exclamation of fright
EEL,snake-like fish
EEN,even
EFF,letter F
EFT,young newt
EGG,oval reproductive body
EGO,self-esteem
EKE,to supplement
ELD,old age
ELF,mythical being
ELK,large deer
ELL,unit of measurement
ELM,type of tree
ELS,plural of el
EME,uncle
EMO,emotional style of music
EMS,plural of em
EMU,large bird
END,finish
ENE,east-northeast
ENG,phonetic symbol
ENS,entity
EON,long period of time
ERA,period of time
ERE,before
ERF,plot of land
ERG,unit of energy
ERK,aircraftman
ERN,eagle
ERR,to make a mistake
ESS,letter S
EST,superlative suffix
ETA,Greek letter
ETH,Old English letter
EVE,evening
EWE,female sheep
EWW,exclamation of disgust
EXO,external
EYE,organ of sight
FAB,fabulous
FAD,temporary fashion
FAG,cigarette
FAH,musical note
FAN,cooling device
FAP,to masturbate
FAR,distant
FAS,plural of fa
FAT,obese
FAW,multicolored
FAX,transmitted document
FAY,fairy
FED,past tense of feed
FEE,charge
FEH,exclamation of disgust
FEM,feminine
FEN,swamp
FER,for
FES,plural of fe
FET,to fetch
FEU,feudal estate
FEW,not many
FEY,having supernatural powers
FEZ,type of hat
FIB,small lie
FID,wooden pin
FIE,exclamation of disgust
FIG,type of fruit
FIL,to fill
FIN,fish appendage
FIR,type of tree
FIT,in good shape
FIX,to repair
FIZ,to fizz
FLU,influenza
FLY,to move through air
FOB,watch chain
FOE,enemy
FOG,thick mist
FOH,front of house
FON,to be fond
FOO,nonsense word
FOP,dandy
FOR,in favor of
FOU,drunk
FOX,wild animal
FOY,farewell feast
FRA,friar
FRO,away from
FRY,to cook in hot fat
FUB,to cheat
FUD,fear uncertainty and doubt
FUG,stuffy atmosphere
FUM,mythical monster
FUN,enjoyment
FUR,animal hair
GAB,to talk
GAD,to roam about
GAG,to choke
GAK,cocaine
GAL,girl
GAM,leg
GAN,past tense of go
GAP,opening
GAR,type of fish
GAS,vapor
GAT,past tense of get
GAW,mild oath
GAY,homosexual or happy
GED,past tense of go
GEE,exclamation
GEL,jelly-like substance
GEM,precious stone
GEN,generation
GET,to obtain
GHI,clarified butter
GIB,castrated cat
GID,disease of sheep
GIE,to give
GIF,graphics file format
GIG,musical performance
GIN,alcoholic drink
GIP,to clean a fish
GIS,plural of gi
GIT,foolish person
GNU,wildebeest
GOA,state in India
GOB,lump
GOD,supreme being
GON,gone
GOO,sticky substance
GOR,mild oath
GOS,plural of go
GOT,past tense of get
GOV,governor
GRR,growling sound
GUB,white man
GUL,rose
GUM,sticky substance
GUN,weapon
GUP,gossip
GUR,unrefined sugar
GUS,plural of gu
GUT,intestine
GUV,governor
GUY,man
GYM,gymnasium
GYP,to cheat
HAD,past tense of have
HAG,witch
HAH,exclamation
HAJ,pilgrimage to Mecca
HAM,pork
HAN,past tense of have
HAO,Chinese monetary unit
HAP,luck
HAS,present tense of have
HAT,head covering
HAW,fruit of hawthorn
HAY,dried grass
HEH,exclamation of mild amusement
HEM,border of cloth
HEN,female chicken
HEP,hip
HER,belonging to her
HES,plural of he
HET,heated
HEW,to chop
HEX,to bewitch
HEY,exclamation
HIC,hiccup sound
HID,past tense of hide
HIE,to go quickly
HIM,objective case of he
HIN,Hebrew unit of measure
HIP,body joint
HIS,belonging to him
HIT,to strike
HMM,exclamation of thought
HOB,cooking surface
HOC,this
HOD,coal scuttle
HOE,garden tool
HOG,pig
HOI,the masses
HOM,sacred sound
HON,honey
HOO,exclamation
HOP,to jump
HOS,plural of ho
HOT,having high temperature
HOW,in what way
HOX,to hamstring
HOY,exclamation
HUB,center
HUE,color
HUG,to embrace
HUH,exclamation
HUI,Maori social gathering
HUM,to make a low sound
HUN,member of Attila's tribe
HUP,military command
HUT,small dwelling
HYP,hypochondriac
ICE,frozen water
ICH,disease of fish
ICK,exclamation of disgust
ICY,very cold
IDE,type of fish
IDS,plural of id
IFF,if and only if
IFS,plural of if
ILK,type
ILL,sick
IMP,small demon
ING,meadow
INK,writing fluid
INN,small hotel
INS,plural of in
INT,integer
ION,charged atom
IRE,anger
IRK,to annoy
ISH,somewhat
ISM,distinctive doctrine
ISO,in photography
ITA,type of palm
ITS,belonging to it
IVY,climbing plant
IWI,Maori tribe
JAB,to poke
JAG,sharp projection
JAI,victory
JAK,variant of jack
JAM,fruit preserve
JAP,Japanese person
JAR,container
JAW,mouth part
JAY,type of bird
JEE,to turn right
JET,aircraft
JEU,game
JIB,triangular sail
JIG,lively dance
JIN,life force
JIZ,semen
JOB,work
JOE,coffee
JOG,to run slowly
JOL,to have a good time
JOR,variant of your
JOT,to write quickly
JOW,to ring a bell
JOY,happiness
JUD,mass of coal
JUG,container
JUN,young
JUS,juice or gravy
JUT,to stick out
KAB,Hebrew measure
KAE,jackdaw
KAF,Hebrew letter
KAI,food
KAK,to defecate
KAM,crooked
KAS,plural of ka
KAT,khat plant
KAW,to caw
KAY,letter K
KEA,type of parrot
KEB,to give birth
KED,wingless fly
KEF,hemp smoked as narcotic
KEG,small barrel
KEN,to know
KEP,to catch
KET,carrion
KEX,dry hollow stem
KEY,opener
KHI,Greek letter
KID,young goat
KIF,variant of kef
KIN,relatives
KIP,to sleep
KIR,alcoholic drink
KIS,plural of ki
KIT,set of tools
