word,definition
AAHS,plural of aah - exclamations of amazement
AALS,plural of aal - East Indian trees
ABAC,counting frame with beads
ABAS,plural of aba - type of fabric
ABBA,father (Aramaic)
ABBE,French abbot
ABBS,plural of abb - yarn used in weaving
ABED,in bed
ABER,mouth of a river
ABET,to help or encourage
ABID,past tense of abide
ABLE,having ability or skill
ABLY,in an able manner
ABOS,plural of abo - aboriginal person
ABRI,shelter or refuge
ABUT,to border upon
ABYE,to pay the penalty for
ABYS,plural of aby - variant of abye
ACAI,antioxidant-rich berry
ACCA,academic qualification
ACED,past tense of ace - to succeed
ACER,type of tree (maple)
ACES,plural of ace - playing cards
ACHE,pain or suffering
ACHY,causing aches
ACID,sour substance
ACME,highest point
ACNE,skin condition
ACRE,unit of land area
ACRO,relating to heights
ACTA,official records
ACTS,plural of act - performances
ACYL,chemical group
ADAW,variant of adagio
ADDS,plural of add - mathematical operations
ADDY,affectionate term for address
ADIT,horizontal entrance to mine
ADOS,plural of ado - fuss or trouble
ADRY,thirsty
ADZE,cutting tool
AEON,long period of time
AERO,relating to aircraft
AERY,eagle's nest
AESC,Old English letter
AFAR,at a distance
AFFY,to trust
AFRO,hairstyle
AGAR,gelatinous substance
AGAS,plural of aga - Turkish commander
AGED,old or elderly
AGEE,askew
AGEN,variant of again
AGER,one who ages
AGES,plural of age - time periods
AGGY,aggressive
AGHA,Turkish military commander
AGIN,against
AGIO,premium on foreign exchange
AGLU,seal's breathing hole
AGLY,awry
AGMA,type of speech sound
AGOG,eager or excited
AGON,struggle or contest
AGRO,agriculture
AGUE,fever with chills
AHED,past tense of ah
AHEM,attention-getting sound
AHIS,plural of ahi - type of tuna
AHOY,nautical greeting
AIAS,plural of aia - nursemaid
AIDA,type of fabric
AIDE,assistant
AIDS,acquired immune deficiency syndrome
AIGA,Samoan extended family
AILS,third person of ail - to be sick
AIMS,plural of aim - goals
AINE,own (Scottish)
AINS,plural of ain - own
AIRN,iron (Scottish)
AIRS,plural of air - gases or mannerisms
AIRT,compass direction
AIRY,having much air
AITS,plural of ait - small islands
AITU,Polynesian spirit
AJAR,partly open
AJEE,to one side
AJIS,plural of aji - type of pepper
AKAS,plural of aka - also known as
AKED,past tense of ake - to ache
AKEE,tropical fruit
AKES,plural of ake - variant of ache
AKIN,related or similar
ALAE,plural of ala - wing-like part
ALAN,hunting dog
ALAP,improvised prelude in Indian music
ALAR,relating to wings
ALAS,expression of grief
ALAY,to allay
ALBA,dawn song
ALBE,although
ALBS,plural of alb - white vestments
ALCO,relating to alcohol
ALEC,herring
ALEE,on the sheltered side
ALEF,Hebrew letter
ALES,plural of ale - beer
ALEW,type of fish sauce
ALFA,phonetic alphabet for A
ALGA,simple plant
ALGO,algorithm
ALIF,Arabic letter
ALIT,past tense of alight
ALKO,alcohol shop
ALKY,alcoholic person
ALLS,everything
ALLY,friend or partner
ALMA,nourishing
ALME,dancing girl
ALMS,charity
ALOD,land held absolutely
ALOE,medicinal plant
ALOO,potato (Hindi)
ALOW,below
ALPS,high mountains
ALSO,in addition
ALTO,high male voice
ALTS,plural of alt - high notes
ALUM,chemical compound
ALUS,plural of alu - type of beer
AMAH,Asian nursemaid
AMAS,plural of ama - Japanese diver
AMBO,pulpit in early church
AMEN,so be it
AMES,plural of ame - friend
AMIA,type of fish
AMID,in the middle of
AMIE,friend (French)
AMIN,amine compound
AMIR,Muslim ruler
AMIS,plural of ami - friends
AMLA,Indian gooseberry
AMMO,ammunition
AMOK,in a frenzy
AMPS,plural of amp - electrical units
AMUS,plural of amu - atomic mass units
ANAL,relating to the anus
ANAS,plural of ana - collections
ANEW,once more
ANGA,part of yoga
ANIL,indigo plant
ANIS,plural of ani - blackbirds
ANKH,Egyptian symbol
ANNS,plural of ann - payment
ANOA,type of buffalo
ANON,soon or anonymous
ANSA,handle-shaped part
ANTE,poker stake
ANTI,opposed to
ANTS,plural of ant - insects
ANUS,body opening
APED,past tense of ape - to imitate
APER,one who apes
APES,plural of ape - primates
APEX,highest point
APOD,without feet
APOS,plural of apo - type of protein
APPS,plural of app - applications
APSE,semicircular recess
APSO,type of dog
APTS,plural of apt - suitable
AQUA,water
ARAK,alcoholic drink
ARAR,type of tree
ARBA,four (Hebrew)
ARBS,plural of arb - arbitrageurs
ARCH,curved structure
ARCO,with the bow (music)
ARCS,plural of arc - curved lines
ARDS,plural of ard - primitive plows
AREA,space or region
ARED,past tense of are - to plow
AREG,type of desert terrain
ARES,plural of are - units of area
ARET,past tense of arete
AREW,in a row
ARFS,plural of arf - dog sounds
ARGH,expression of frustration
ARIA,operatic solo
ARID,dry
ARIE,variant of aria
ARIL,seed covering
ARIS,plural of ari - type of bird
ARKS,plural of ark - boats
ARLE,earnest money
ARMS,plural of arm - limbs or weapons
ARMY,military force
ARNA,type of buffalo
AROS,plural of aro - type of plant
AROW,in a row
ARPA,type of harp
ARSE,buttocks
ARSY,irritable
ARTI,type of Hindu ceremony
ARTS,plural of art - creative works
ARTY,pretentiously artistic
ARUM,type of plant
ARVO,afternoon (Australian)
ARYL,chemical group
ASAR,variant of as
ASCI,plural of ascus
ASEA,at sea
ASHY,like ash in color
ASKS,third person of ask - to request
ASPS,plural of asp - snakes
ATES,plural of ate - goddess of mischief
ATMA,soul (Hindu)
ATOC,type of bird
ATOM,smallest particle
ATOP,on top of
ATUA,Polynesian god
AUKS,plural of auk - seabirds
AULA,hall or court
AULD,old (Scottish)
AUNE,unit of measurement
AUNT,female relative
AURA,distinctive atmosphere
AUTO,automobile
AVAL,relating to grandparents
AVAS,plural of ava - type of pepper
AVEL,wealth
