word,definition
GABS,plural of gab - idle talk
GABY,simple person
GACH,variant of gatch
GADE,variant of goad
GADI,cushion or throne
GADS,plural of gad - pointed tools
GAED,past tense of gae (Scottish)
GAEN,past participle of gae (Scottish)
GAES,third person of gae (Scottish)
GAFF,large hook or to cheat
GAGA,silly or senile
GAGE,pledge or measuring device
GAGS,plural of gag - devices to prevent speech
GAID,variant of goad
GAIN,to obtain
GAIR,strip of land
GAIT,manner of walking
GAJO,non-Romani person
GAKS,plural of gak - cocaine
GALA,festive occasion
GALE,strong wind
GALL,bile or boldness
GALS,plural of gal - girls
GAMA,variant of gamma
GAMB,leg (heraldic)
GAME,sport or wild animals
GAMP,large umbrella
GAMS,plural of gam - legs
GAMY,having strong flavor
GANE,variant of gone
GANG,group of people
GANK,to steal
GANS,plural of gan
GANT,variant of gaunt
GAOL,variant of jail
GAPE,to stare open-mouthed
GAPO,cleft palate
GAPS,plural of gap - openings
GAPY,full of gaps
GARB,clothing
GARE,variant of gear
GARI,cassava flour
GARS,plural of gar - fish
GART,past tense of gar (Scottish)
GASH,deep cut
GASP,to breathe hard
GAST,to frighten
GATE,hinged barrier
GATH,wine press
GATS,plural of gat
GAUD,showy ornament
GAUM,to handle clumsily
GAUN,going (Scottish)
GAUP,to stare stupidly
GAUR,type of wild ox
GAUS,plural of gau
GAVE,past tense of give
GAWD,variant of God
GAWK,to stare stupidly
GAWP,to stare stupidly
GAWS,plural of gaw
GAYS,plural of gay - homosexual persons
GAZE,to look steadily
GAZY,given to gazing
GEAL,to congeal
GEAN,wild cherry
GEAR,equipment
GEAT,channel for molten metal
GECK,expression of disgust
GEDD,pike (fish)
GEDS,plural of ged - pike fish
GEED,past tense of gee
GEEK,enthusiast or carnival performer
GEES,plural of gee - exclamations
GEEZ,mild exclamation
GEIT,goat (Scottish)
GELD,to castrate
GELS,plural of gel - jelly substances
GELT,money
GEME,village community
GEMS,plural of gem - precious stones
GENE,hereditary unit
GENS,clan or tribe
GENT,gentleman
GENU,knee
GEOS,plural of geo - inlet
GERM,microorganism
GEST,tale of adventure
GETA,Japanese wooden clog
GETS,third person of get
GEUM,type of plant
GHAT,steps to river
GHEE,clarified butter
GHIS,plural of ghi - clarified butter
GIBE,to taunt
GIBS,plural of gib - castrated cats
GIDS,plural of gid - sheep disease
GIED,past tense of gie (Scottish)
GIEN,past participle of gie (Scottish)
GIES,third person of gie (Scottish)
GIFF,variant of if
GIFT,present
GIGS,plural of gig - performances
GILD,to cover with gold
GILL,respiratory organ
GILT,covered with gold
GIMP,disabled person or trimming
GINS,plural of gin - alcoholic drinks
GINK,person
GIOS,plural of gio
GIPS,variant of gyps
GIRD,to encircle
GIRL,female child
GIRN,to grin or complain
GIRO,system of bank transfers
GIRR,variant of gir
GIRS,plural of gir
GIRT,past tense of gird
GISM,variant of jism
GIST,main point
GITE,holiday cottage
GITS,plural of git - foolish persons
GIVE,to hand over
GIZZ,wig or face
GLAD,happy
GLAM,glamorous
GLED,kite (bird)
GLEE,joy
GLEG,quick-witted
GLEI,type of soil
GLEN,narrow valley
GLEY,type of soil
GLIA,brain tissue
GLIB,fluent but insincere
GLID,past tense of glide
GLIM,light
GLIT,variant of gleet
GLOB,lump
GLOM,to grab
GLOP,sticky mess
GLOW,to shine
GLUE,adhesive
GLUG,gurgling sound
GLUM,dejected
GLUT,excess supply
GNAR,to snarl
GNAT,small flying insect
GNAW,to chew persistently
GNOW,variant of now
GNUS,plural of gnu - wildebeest
GOAD,to urge on
GOAF,excavated area in mine
GOAL,target or aim
GOAS,plural of goa
GOAT,horned mammal
GOBI,type of bean
GOBO,screen to control light
GOBS,plural of gob - lumps
GOBY,type of fish
GODS,plural of god - deities
GOEL,redeemer
GOER,one who goes
GOES,third person of go
GOEY,sticky
GOFF,variant of golf
GOGO,energetic style
GOJI,type of berry
GOLD,precious metal
GOLE,variant of goal
GOLF,ball game
GOLP,to gulp
GONE,past participle of go
GONG,percussion instrument
GONK,doll with wild hair
GONS,plural of gon
GOOD,morally right or satisfactory
GOOF,mistake or silly person
GOOG,egg (Australian slang)
GOOK,offensive term
GOOL,variant of ghoul
GOON,thug or foolish person
GOOP,sticky substance
GOOR,variant of gur
GOOS,plural of goo
GORA,white person (Indian term)
GORE,blood or triangular piece
GORI,white woman (Indian term)
GORM,to understand
GORP,trail mix
GORY,bloody
GOSH,mild exclamation
GOSS,gorse
GOTH,member of Germanic tribe
GOUL,variant of ghoul
GOUM,variant of gum
