word,definition
MAAD,variant of mad
MAAR,volcanic crater
MAAS,plural of maa - bleating sounds
MABE,type of pearl
MACE,spice or weapon
MACH,speed measurement
MACK,to kiss
MACS,plural of mac - raincoats
MADE,past tense of make
MADS,plural of mad person
MAES,plural of mae
MAGE,magician
MAGG,variant of mag
MAGI,wise men
MAGS,plural of mag - magazines
MAID,female servant
MAIK,variant of make
MAIL,postal system
MAIM,to disable
MAIN,chief or principal
MAIR,more (Scottish)
MAKE,to create
MAKI,type of sushi
MAKO,type of shark
MAKS,variant of makes
MALE,masculine sex
MALI,variant of mallee
MALL,shopping center
MALM,soft limestone
MALT,germinated grain
MAMA,mother
MAMS,plural of mam - mothers
MANA,spiritual power
MAND,variant of command
MANE,horse's neck hair
MANG,variant of among
MANI,peanut
MANK,defective or dirty
MANS,third person of man
MANY,numerous
MAPS,plural of map - charts
MARA,type of rodent
MARC,grape refuse
MARD,sulk
MARE,female horse
MARG,margarine
MARK,sign or symbol
MARL,type of soil
MARS,planet or to damage
MART,market
MASA,corn dough
MASE,variant of maze
MASH,to crush
MASK,face covering
MASS,large quantity
MAST,ship's pole
MATE,friend or partner
MATH,mathematics
MATS,plural of mat - floor coverings
MATT,having dull finish
MAUD,traveling rug
MAUL,to handle roughly
MAUN,must (Scottish)
MAUT,variant of malt
MAWK,maggot
MAWS,plural of maw - mouths
MAXI,long dress
MAYS,plural of may - hawthorn flowers
MAZE,labyrinth
MAZY,resembling maze
MEAD,alcoholic drink
MEAL,food
MEAN,average or unkind
MEAT,animal flesh
MECK,variant of meek
MEDS,plural of med - medicines
MEED,reward
MEEK,humble
MEES,plural of mee
MEET,to encounter
MEFF,unpleasant person
MEGA,very large
MEGS,plural of meg
MEHS,plural of meh - expressions of indifference
MEIK,variant of meek
MEIN,bearing or appearance
MELA,fair or festival
MELD,to blend
MELL,to meddle
MELS,plural of mel - honey
MELT,to liquefy
MEME,cultural unit
MEMO,memorandum
MEMS,plural of mem - Hebrew letters
MEND,to repair
MENE,writing on wall
MENG,variant of ming
MENO,less (musical term)
MENS,plural of men
MENT,variant of meant
MENU,list of food
MEOU,variant of miaow
MEOW,cat sound
MERC,mercenary
MERE,nothing but
MERK,variant of mark
MERL,blackbird
MESA,flat-topped hill
MESE,middle note
MESH,network
MESS,untidy state
META,beyond or after
METE,to distribute
METH,methamphetamine
METS,plural of met
MEUS,mine (Latin)
MEVE,variant of move
MEWS,plural of mew - cat sounds
MEZE,Greek appetizers
MEZZ,mezzanine
MHOS,plural of mho - units of conductance
MIBS,plural of mib - marbles
MICE,plural of mouse
MICK,Irishman (offensive)
MICO,type of monkey
MICS,plural of mic - microphones
MIDI,mid-length skirt
MIDS,plural of mid - middles
MIEN,bearing
MIFF,to offend
MIGG,variant of mig
MIGS,plural of mig - aircraft
MIHA,variant of mica
MIKE,microphone
MILD,gentle
MILE,unit of distance
MILK,dairy product
MILL,grinding machine
MILO,type of grain
MILS,plural of mil - units
MILT,fish sperm
MIME,silent performer
MIMI,type of acacia
MIMP,variant of imp
MIMS,plural of mim
MINA,weight or coin
MIND,brain or to care for
MINE,belonging to me
MING,Chinese dynasty
MINH,variant of min
MINK,type of fur
MINO,variant of minor
MINS,plural of min - minutes
MINT,herb or money factory
MINX,impudent girl
MINY,variant of mini
MIPS,plural of mip
MIRE,swamp
MIRK,dark
MIRS,plural of mir - village communes
MIRY,swampy
MISE,setting of play
MISK,variant of mask
MISS,to fail to hit
MIST,fog
MITE,small arachnid
MITT,glove
MITY,infested with mites
MIXT,mixed (archaic)
MIZEN,type of sail
MIZZ,variant of miss
MNAS,plural of mna - Greek weights
MOAI,Easter Island statue
MOAN,sound of pain
MOAS,plural of moa - extinct birds
MOAT,water-filled ditch
MOBS,plural of mob - crowds
MOCH,variant of much
MOCK,to ridicule
MOCS,plural of moc - moccasins
MODE,manner or style
MODS,plural of mod - modifications
MOED,variant of mood
MOES,plural of moe
MOFT,variant of soft
MOGS,plural of mog - cats
MOHR,variant of more
MOIL,to work hard
MOIT,variant of mote
MOJO,magic charm
MOKE,donkey or mesh bag
MOKI,variant of moke
MOLA,type of fish
MOLD,variant of mould
MOLE,small mammal
MOLL,gangster's girlfriend
MOLT,variant of moult
MOLY,mythical herb
MOME,fool
MOMS,plural of mom - mothers
MONA,type of monkey
MOND,variant of moon
MONE,variant of moan
MONG,variant of among
MONK,religious person
MONO,single or mononucleosis
MONS,plural of mon
MONT,mountain
MONY,many (Scottish)
MOOD,state of mind
MOOL,variant of mule
MOON,Earth's satellite
MOOP,variant of mop
MOOR,to secure boat
MOOS,plural of moo - cow sounds
MOOT,debatable
MOPE,to be dejected
MOPS,plural of mop - cleaning tools
MOPY,dejected
MORA,metrical unit
MORE,greater amount
MORG,variant of morgue
MORN,morning
MORT,great number
MORY,variant of more
MOSE,variant of moose
MOSK,variant of mosque
MOSS,small plant
MOST,greatest amount
MOTE,speck
MOTH,night-flying insect
MOTS,plural of mot - witty sayings
MOTT,small grove
MOTU,island
MOUE,pouting grimace
MOUL,variant of mowl
MOUN,variant of moon
MOUP,variant of mope
MOUS,plural of mou
MOVE,to change position
MOWL,variant of moll
MOWN,past participle of mow
MOWS,third person of mow
MOXA,Chinese medicine
MOYA,volcanic mud
MOYL,variant of moil
MOZE,variant of doze
MOZZ,luck
MUCH,great amount
MUCK,dirt
MUDS,plural of mud - wet earth
MUED,variant of mewed
MUFF,to bungle
MUGG,variant of mug
MUGS,plural of mug - cups
MUIR,moor (Scottish)
MUID,old French measure
MUJA,variant of mujik
MULE,hybrid animal
MULL,to ponder
MULS,plural of mul
MUMP,to sulk
MUMS,plural of mum - mothers
MUNE,variant of moon
MUNG,type of bean
MUNI,municipal bond
MUNK,variant of monk
MUNS,plural of mun
MUNT,offensive term
MUON,subatomic particle
MUPS,plural of mup
MURA,Japanese term
MURE,to confine
MURK,darkness
MURL,variant of marl
MURR,variant of purr
MURS,plural of mur - walls
MUSE,to ponder
MUSH,soft pulp
MUSK,strong scent
MUSO,musician
MUSS,to make messy
MUST,to be obliged
MUTE,silent
MUTI,African medicine
MUTT,mongrel dog
MUX,variant of mucks
MYCS,plural of myc
MYNA,type of bird
MYND,variant of mind
MYTH,traditional story
MYXE,variant of mix
NAAN,Indian bread
NABS,third person of nab
NACE,variant of nace
NACH,variant of natch
NADA,nothing
NADS,plural of nad
NAES,plural of nae - no (Scottish)
NAFF,worthless
NAGA,mythical serpent
NAGE,swimming stroke
NAGS,plural of nag - horses
NAHT,variant of not
NAIF,naive person
NAIL,fastener
NAIN,dwarf (Welsh)
NAIR,variant of near
NAIS,plural of nai
NAKA,variant of naker
NALE,variant of ale
NAME,word for person or thing
NAMS,plural of nam
NANA,grandmother
NANE,none (Scottish)
NANS,plural of nan - grandmothers
NAOI,plural of naos
NAOS,inner chamber of temple
NAPA,type of leather
NAPE,back of neck
NAPS,plural of nap - short sleeps
NARC,narcotics agent
NARD,spikenard
NARE,variant of near
NARK,informer
NARY,not one
NASE,variant of nose
NATS,plural of nat - units
NAVE,hub of wheel
NAVY,fleet of ships
NAYS,plural of nay - negative votes
NAZI,German fascist
NEAL,variant of kneel
NEAP,type of tide
NEAR,close
NEAT,tidy
NEBB,bird's beak
NECK,part of body
NEDS,plural of ned - young thugs
NEED,to require
NEEM,type of tree
NEEP,turnip
NEFS,plural of nef - ships
NEIF,variant of naif
NEKS,plural of nek - mountain passes
NELL,variant of knell
NEMA,type of worm
NEMO,nobody
NENE,Hawaiian goose
NEON,noble gas
NEPS,plural of nep - fiber knots
NERD,studious person
NERK,variant of nurd
NERO,Roman emperor
NESH,sensitive to cold
NESS,headland
NEST,bird's home
NETE,highest note
NETS,plural of net - mesh
NETT,variant of net
NEUK,corner (Scottish)
NEUM,variant of neume
NEWS,information
NEWT,type of amphibian
NEXT,following
NIBS,plural of nib - pen points
NICE,pleasant
NICK,small cut
NIDE,brood of pheasants
NIDS,plural of nid
NIED,variant of need
NIEF,variant of neif
NIES,plural of nie
NIFE,nickel-iron core
NIFF,bad smell
NIGS,plural of nig
NILS,plural of nil - nothing
NIMS,plural of nim - games
NINE,number 9
NIPA,type of palm
NIPS,plural of nip - small bites
NIRL,variant of knurl
NISH,variant of niche
NISI,unless (legal term)
NITE,night (informal)
NITS,plural of nit - louse eggs
NIXY,variant of nixie
NIZAM,Indian ruler
NOAH,biblical figure
NOBS,plural of nob - heads
NOCK,notch in arrow
NOD,to bow head
NODS,plural of nod - head movements
NOEL,Christmas
NOES,plural of no
NOGG,variant of nog
NOGS,plural of nog - wooden blocks
NOHS,plural of noh - Japanese drama
NOIL,short fiber
NOIR,black (French)
NOLE,variant of knoll
NOLL,crown of head
NOMA,gangrenous disease
NOME,province
NOMS,plural of nom
NONG,foolish person
NONI,type of fruit
NOOK,corner
NOON,midday
NOOP,variant of no-op
NOPE,no (informal)
NORI,type of seaweed
NORM,standard
NORK,breast (slang)
NOSE,organ of smell
NOSH,to eat snacks
NOSY,inquisitive
NOTE,written message
NOTT,variant of knot
NOUN,naming word
NOUP,variant of knop
NOUS,common sense
NOUT,cattle
NOVA,exploding star
NOWL,variant of knoll
NOWN,variant of known
NOWS,plural of now
NOWT,nothing
NOWY,variant of snowy
NUBS,plural of nub - lumps
NUCK,variant of nook
NUDE,naked
NUDS,plural of nud
NUFF,enough (slang)
NUKE,nuclear weapon
NULL,nothing
NUMB,without feeling
