word,definition
SAAL,variant of sal
SABA,type of mackerel
SABS,plural of sab - saboteurs
SACK,bag or to dismiss
SACS,plural of sac - pouches
SADE,variant of sad
SADO,variant of sado
SADS,plural of sad person
SAFE,secure
SAGA,long story
SAGE,wise person
SAGO,starch
SAGS,third person of sag
SAGY,drooping
SAHS,plural of sah - exclamations
SAIC,variant of sake
SAID,past tense of say
SAIK,variant of sake
SAIL,to travel by boat
SAIM,lard
SAIN,to bless
SAIR,sore (Scottish)
SAKE,purpose
SAKI,type of monkey
SALE,act of selling
SALL,variant of shall
SALP,marine animal
SALS,plural of sal - salt trees
SALT,sodium chloride
SAME,identical
SAMP,corn porridge
SAND,fine particles
SANE,mentally sound
SANG,past tense of sing
SANK,past tense of sink
SANS,without
SAPS,plural of sap - tree fluid
SARD,type of stone
SARI,Indian garment
SARK,shirt (Scottish)
SARS,plural of sar
SASH,decorative band
SASS,to talk back
SATE,to satisfy fully
SATI,Hindu practice
SAUL,variant of soul
SAVE,to rescue
SAWN,past participle of saw
SAWS,plural of saw - cutting tools
SAXE,type of blue
SAYS,third person of say
SCAB,dried blood
SCAD,type of fish
SCAG,variant of skag
SCAM,fraudulent scheme
SCAN,to examine
SCAR,mark from wound
SCAT,animal droppings
SCOP,Anglo-Saxon poet
SCOT,native of Scotland
SCOW,flat-bottomed boat
SCRY,to divine by crystal gazing
SCUD,to move fast
SCUG,to shelter
SCUL,variant of skull
SCUM,foam on liquid
SCUP,type of fish
SCUT,short tail
SCYE,armhole opening
SEAL,marine mammal
SEAM,line of junction
SEAR,to burn
SEAS,plural of sea - bodies of water
SEAT,place to sit
SECH,variant of such
SECT,religious group
SEED,plant embryo
SEEK,to search for
SEEL,to close hawk's eyes
SEEM,to appear
SEEN,past participle of see
SEEP,to ooze
SEER,prophet
SEES,third person of see
SEGO,type of lily
SEGS,plural of seg - segments
SEIF,type of dune
SEIK,variant of seek
SELL,to exchange for money
SEME,variant of same
SEMI,prefix meaning half
SENA,type of plant
SEND,to dispatch
SENS,plural of sen - monetary units
SENT,past tense of send
SEPT,clan
SERA,plural of serum
SERE,withered
SERF,feudal peasant
SERS,plural of ser
SESE,variant of cease
SESH,session
SETA,bristle-like structure
SETH,third son of Adam
SETS,plural of set - groups
SETT,badger's den
SEWN,past participle of sew
SEWS,third person of sew
SEXT,church service
SEXY,sexually attractive
SHAD,type of fish
SHAG,rough hair
SHAH,Persian ruler
SHAM,fake
SHAW,small wood
SHAY,light carriage
SHED,to cast off
SHES,plural of she
SHEW,variant of show
SHIM,thin wedge
SHIN,front of lower leg
SHIP,vessel
SHIR,variant of shirr
SHIT,excrement (vulgar)
SHIV,knife
SHMO,variant of schmo
SHOD,past tense of shoe
SHOE,footwear
SHOG,to shake
SHOO,exclamation to drive away
SHOP,store
SHOT,projectile
SHOW,to display
SHUL,synagogue
SHUN,to avoid
SHUT,to close
SHWA,variant of schwa
SICK,ill
SICS,third person of sic
SIDE,edge or surface
SIDH,fairy mound
SIDS,plural of sid
SIEN,variant of sine
SIES,plural of sie
SIFT,to strain
SIGH,deep breath
SIGN,symbol
SIGS,plural of sig - signatures
SIKA,type of deer
SIKE,variant of syke
SILK,fabric from silkworms
SILL,windowsill
SILO,storage tower
SILT,fine particles
SIMA,type of rock
SIMI,variant of semi
SIMP,simpleton
SIMS,plural of sim - simulations
SINE,trigonometric function
SING,to make music
SINK,to go down
SINS,plural of sin - wrongdoings
SIPE,to seep
SIPS,plural of sip - small drinks
SIRE,father
SIRI,variant of sirree
SIRS,plural of sir - titles
SISS,variant of sis
SIST,variant of cyst
SITE,location
SITS,third person of sit
SITZ,type of bath
SIZE,dimensions
SIZY,viscous
SKAG,heroin
SKAM,variant of scam
SKAT,card game
SKAW,variant of skew
SKEG,fin on surfboard
SKEN,stage building
SKEO,variant of skew
SKEP,beehive
SKER,variant of skerry
SKES,plural of ske - skis
SKEW,slanted
SKID,to slide
SKIM,to remove surface
SKIN,outer covering
SKIP,to hop
SKIS,plural of ski - snow runners
SKIT,short play
SKOL,drinking toast
SKRY,variant of scry
SKUA,type of bird
SKUG,variant of scug
SKYF,to smoke marijuana
SKYP,variant of skip
SLAE,variant of sloe
SLAG,waste matter
SLAM,to shut forcefully
SLAP,to hit with palm
SLAT,thin strip
SLAW,coleslaw
SLAY,to kill
SLED,snow vehicle
SLEE,variant of sly
SLEW,past tense of slay
SLEY,reed in loom
SLID,past tense of slide
SLIM,thin
SLIP,to slide
SLIT,narrow cut
SLOB,messy person
SLOE,type of berry
SLOG,to work hard
SLOP,to spill
SLOT,narrow opening
SLOW,not fast
SLUB,thick place in yarn
SLUE,variant of slew
SLUG,slow mollusk
SLUM,poor area
SLUR,to speak unclearly
SLUT,promiscuous woman
SMEW,type of duck
SMOG,polluted air
SMUG,self-satisfied
SMUR,variant of smirr
SMUT,soot or obscenity
SNAG,catch or obstacle
SNAP,to break suddenly
SNAR,to snarl
SNEB,variant of snub
SNED,to prune
SNEE,knife
SNEG,variant of snag
SNIB,door bolt
SNIG,to catch eels
SNIP,to cut
SNIT,fit of anger
SNOB,person who looks down on others
SNOD,smooth
SNOG,to kiss
SNOT,nasal mucus
SNOW,frozen precipitation
SNUB,to ignore
SNUD,variant of snood
SNUG,cozy
SOAK,to wet thoroughly
SOAP,cleaning agent
SOAR,to fly high
SOBA,type of noodle
SOBS,plural of sob - crying sounds
SOCK,foot covering
SODA,carbonated drink
SODS,plural of sod - grass clumps
SOFA,couch
SOFT,not hard
SOGS,plural of sog
SOHS,plural of soh - musical notes
SOIL,earth
SOJA,variant of soya
SOKE,jurisdiction
SOLA,alone (feminine)
SOLD,past tense of sell
SOLE,bottom of foot
SOLI,plural of solo
SOLO,alone
SOLS,plural of sol - monetary units
SOMA,body of organism
SOME,a few
SOMS,plural of som - monetary units
SONE,unit of loudness
SONG,musical composition
SONS,plural of son - male offspring
SOOK,variant of suck
SOOL,to incite
SOON,in near future
SOOP,variant of soup
SOOT,black powder
SOPH,sophomore
SOPS,plural of sop - things soaked
SORB,to absorb
SORD,flock of mallards
SORE,painful
SORI,plural of sorus
SORN,to obtain by begging
SORT,type or to arrange
SOSS,variant of sauce
SOTH,variant of sooth
SOTS,plural of sot - drunkards
SOUK,marketplace
SOUL,spirit
SOUM,variant of sowm
SOUP,liquid food
SOUR,tart taste
SOUS,under (French)
SOUT,variant of shout
SOWN,past participle of sow
SOWS,plural of sow - female pigs
SOYA,soybean
SOYS,plural of soy - soybeans
SPAE,to prophesy
SPAM,canned meat
SPAN,distance across
SPAR,to box
SPAS,plural of spa - health resorts
SPAT,past tense of spit
SPAY,to sterilize female animal
SPEC,specification
SPED,past tense of speed
SPEK,variant of speck
SPEW,to vomit
SPEY,type of fishing
SPIC,variant of spick
SPIE,variant of spy
SPIK,variant of spike
SPIN,to rotate
SPIT,to expel saliva
SPIV,petty criminal
SPOT,mark or place
SPRY,agile
SPUD,potato
SPUE,variant of spew
SPUG,sparrow
SPUN,past tense of spin
SPUR,pointed projection
STAB,to pierce
STAG,male deer
STAR,celestial body
STAT,immediately
STAW,variant of stay
STAY,to remain
STED,variant of stead
STEM,plant stalk
STEN,type of gun
STEP,footfall
STET,let it stand
STEW,cooked dish
STEY,steep
STIB,antimony
STIR,to mix
STOA,Greek portico
STOB,stake
STOP,to cease
STOT,young bull
STOW,to pack
STUB,short piece
STUD,male animal for breeding
STUM,grape juice
STUN,to daze
STYE,eye infection
SUCH,of that kind
SUCK,to draw with mouth
SUDD,floating vegetation
SUDS,soap foam
SUED,past tense of sue
SUER,one who sues
SUES,third person of sue
SUET,hard fat
SUFF,variant of sough
SUFI,Islamic mystic
SUGG,variant of suggest
SUGO,pasta sauce
SUGS,plural of sug
SUIT,matching clothes
SUKH,variant of sook
SULK,to be moody
SULU,type of garment
SUMO,Japanese wrestling
SUMP,drainage pit
SUMS,plural of sum - totals
SUNK,past tense of sink
SUNS,plural of sun - stars
SUPE,variant of super
SUPS,third person of sup
SUQS,plural of suq - marketplaces
SURA,chapter of Quran
SURD,irrational number
SURE,certain
SURF,ocean waves
SUSS,to figure out
SWAB,cleaning pad
SWAD,soldier
SWAG,stolen goods
SWAM,past tense of swim
SWAN,large bird
