word,definition
aba,a loose sleeveless outer garment made from aba cloth; worn by Arabs
abb,an urban hit squad and guerrilla group of the Communist Party in the Philippines; formed in the 1980s
abo,a dark-skinned member of a race of people living in Australia when Europeans arrived
aby,make amends for
ace,the smallest whole number or a numeral representing this number
act,a legal document codifying the result of deliberations of a committee or society or legislative body
ada,an enzyme found in mammals that can catalyze the deamination of adenosine into inosine and ammonia
add,a condition (mostly in boys) characterized by behavioral and learning disorders
ade,a sweetened beverage of diluted fruit juice
ado,a rapid active commotion
adz,an edge tool used to cut and shape wood
aft,"(nautical, aeronautical) situated at or toward the stern or tail"
aga,title for a civil or military leader (especially in Turkey)
age,how long something has existed
ago,gone by; or in the past
aid,a resource
ail,aromatic bulb used as seasoning
aim,an anticipated outcome that is intended or that guides your planned actions
ain,belonging to or on behalf of a specified person (especially yourself); preceded by a possessive
air,a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of
aix,wood duck and mandarin duck
aku,a Kwa language spoken by the Yoruba in southwestern Nigeria
ala,a flat wing-shaped process or winglike part of an organism
alb,a white linen liturgical vestment with sleeves; worn by priests
ale,a general name for beer made with a top fermenting yeast; in some of the United States an ale is (by law) a brew of more than 4% alcohol by volume
all,quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class
alp,any high mountain
alt,angular distance above the horizon (especially of a celestial object)
ana,mother of the ancient Irish gods; sometimes identified with Danu
and,
ani,black tropical American cuckoo
ant,social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers
any,one or some or every or all without specification
ape,any of various primates with short tails or no tail at all
apt,(usually followed by `to') naturally disposed toward
ara,a constellation in the southern hemisphere near Telescopium and Norma
arc,electrical conduction through a gas in an applied electric field
are,a unit of surface area equal to 100 square meters
ark,(Judaism) sacred chest where the ancient Hebrews kept the two tablets containing the Ten Commandments
arm,a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb
art,the products of human creativity; works of art collectively
ash,the residue that remains when something is burned
ask,inquire about
asp,of southern Europe; similar to but smaller than the adder
ass,the fleshy part of the human body that you sit on
ate,goddess of criminal rashness and its punishment
auk,black-and-white short-necked web-footed diving bird of northern seas
aum,a terrorist organization whose goal is to take over Japan and then the world; based on a religion founded in 1987 that combines elements of Buddhism with Christianity
aus,a soft yellow malleable ductile (trivalent and univalent) metallic element; occurs mainly as nuggets in rocks and alluvial deposits; does not react with most chemicals but is attacked by chlorine and aqua regia
avo,100 avos equal 1 pataca in Macao
awe,an overwhelming feeling of wonder or admiration
awl,a pointed tool for marking surfaces or for punching small holes
awn,slender bristlelike appendage found on the bracts of grasses
axe,an edge tool with a heavy bladed head mounted across a handle
azo,relating to or containing the azo radical
